codigo_fornecedor,classificacao,conta_codigo_reduzido,conta_descricao
2417,4.01.02.02.0154,40102020154,INSTALAÇÃO DE SISTEMA DE ELIMINAÇÃO DE AR EM REDE HIDRÁULICA
1583,4.02.03.06.0048,40203060048,PINTURAS DIVERSAS
1583,4.01.02.02.0081,40102020081,PINTURA DE AREAS COMUNS
1583,4.01.02.02.0043,40102020043,RESSARCIMENTO DE DANOS
1261,4.02.01.02.0010,40201020010,CUSTOS COM ASSEMBLEIA GERAL
2413,4.01.02.02.0084,40102020084,MANUTENÇÃO DA BOIA/BOMBA DA CAIXA DE ÁGUA
2413,4.01.02.02.0092,40102020092,MANUTENÇÃO DA ILUMINAÇÃO DO CONDOMÍNIO
2413,4.02.03.06.0088,40203060088,REPAROS DO MOTOR/FILTRO DA PISCINA
2413,4.02.03.06.0089,40203060089,MANUTENÇÃO DA ILUMINAÇÃO DO CONDOMÍNIO
3014,4.02.03.01.0017,40203010017,REPARO NOS EQUIPAMENTOS DO SALÃO DE FESTAS/ESPAÇO GOURMET
1322,4.02.03.06.0061,40203060061,REFORMA DO BANHEIRO DA ÁREA COMUM
1322,4.02.03.08.0008,40203080008,REPARO HIDRAULICO EM UNIDADE AUTÔNOMA
1322,4.01.02.02.0084,40102020084,MANUTENÇÃO DA BOIA/BOMBA DA CAIXA DE ÁGUA
1322,4.01.02.02.0009,40102020009,MANUTENÇÃO HIDRÁULICA
1322,4.02.03.06.0127,40203060127,MANUTENÇÃO DA BOMBA/BOIA DA CAIXA DE ÁGUA
2961,4.01.02.02.0120,40102020120,MANUTENÇÕES DIVERSAS
2961,4.01.02.02.0078,40102020078,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
2961,4.01.02.02.0071,40102020071,MANUTENÇÃO DO PORTÃO DE SAÍDA DE VEÍCULOS (DESUSO)
3134,4.01.02.02.0168,40102020168,MANUTENÇÃO DO SISTEMA DE BIOMETRIA FACIAL
3134,4.01.02.02.0079,40102020079,MANUTENÇÃO DE INTERFONES
3134,4.01.02.02.0057,40102020057,MANUTENÇÃO DO PORTÃO SOCIAL
3134,4.01.02.02.0092,40102020092,MANUTENÇÃO DA ILUMINAÇÃO DO CONDOMÍNIO
1507,4.01.02.02.0121,40102020121,MANUTENÇÃO NA CALÇADA EXTERNA
3514,4.01.02.02.0173,40102020173,LIMPEZA DE MARQUISE
3514,4.01.02.02.0092,40102020092,MANUTENÇÃO DA ILUMINAÇÃO DO CONDOMÍNIO
3208,4.01.02.02.0078,40102020078,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
2243,4.02.03.06.0083,40203060083,REPARO DO TELHADO DA AREA COMUM
2243,4.02.01.03.0003,40201030003,REFORMA DA ALVENARIA E PINTURA DO CONDOMÍNIO - MÃO DE OBRA
2243,4.02.01.03.0006,40201030006,CONFECÇÃO DE LIXEIRA EM CONCRETO
3074,4.02.03.06.0008,40203060008,REFORMA DA AREA DA PISCINA E SALÃO DE FESTAS
3074,4.01.02.02.0007,40102020007,MANUTENÇÃO JARDIM
3074,4.01.02.02.0058,40102020058,PODA DE ÁRVORES/COQUEIROS
1719,4.01.02.02.0134,40102020134,MANUTENÇÃO DA PRUMADA DE GÁS
