codigo_fornecedor,classificacao,conta_codigo_reduzido,conta_descricao
1369,4.02.03.06.0058,40203060058,SUBSTITUIÇÃO DA MANTA ASFALTICA DO TERRAÇO - MATERIAL
1369,4.02.03.06.0019,40203060019,REFORMA DA GARAGEM - MATERIAIS
1369,4.02.03.06.0031,40203060031,REFORMA DA CAIXA DÁGUA
1369,4.02.03.06.0132,40203060132,REFORMA DA CAIXA DE AGUA E IMPERMEABILIZAÇÕES DA CASA DE MÁQUINAS E CAIXA DE GÁS
0247,4.01.02.03.0004,40102030004,HONORÁRIOS DE SÍNDICO
1469,4.02.01.02.0018,40201020018,GRATIFICAÇÃO DE FIM DE ANO PARA COLABORADORES/LIXEIROS
1469,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
1469,4.02.01.02.0017,40201020017,LEMBRANÇA DE NATAL PARA COLABORADORES
1469,4.01.02.02.0117,40102020117,SACOS PARA LIXO
1469,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
1409,4.02.03.08.0011,40203080011,INSTALAÇÃO DE FOTOCELULA NO PORTÃO DE VEÍCULOS
1409,4.02.03.08.0012,40203080012,REPARO DO PORTÃO DE VEÍCULOS
1409,4.01.02.02.0132,40102020132,SUBSTITUIÇÃO DO MOTOR DO PORTÃO DE VEÍCULOS
1409,4.02.03.08.0001,40203080001,AQUISIÇÃO DE TAGS E CONTROLES PARA REPASSE
1409,4.01.02.02.0005,40102020005,MANUTENÇÃO EM PORTAS
2507,4.02.03.06.0098,40203060098,REFORMA DA ACADEMIA - MATERIAIS
2507,4.02.03.12.0010,40203120010,REFORMA DA AREA DE LAZER
1882,4.02.03.06.0067,40203060067,PROJETO ARQUITETÔNICO PARA REFORMA DO SALÃO DE FESTAS
2498,4.02.03.01.0063,40203010063,TECIDO PARA TOALHA DE MESA DE SALÃO DE FESTAS
1604,4.02.03.01.0005,40203010005,AQUISIÇÃO DE GÁS PARA O SALÃO DE FESTAS
1238,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
1238,4.02.03.08.0022,40203080022,AQUISIÇÃO DE CARTÕES DO CARRINHO DE COMPRAS PARA REPASSE
1238,4.02.01.02.0022,40201020022,AQUISIÇÃO DE TAPETES PARA ÁREA COMUM
1238,4.02.03.01.0049,40203010049,AQUISIÇÃO DE LIXEIRA PARA O SALÃO DE FESTAS
1238,4.01.02.02.0144,40102020144,MATERIAIS PARA LIMPEZA DO PISO DA AREA DA PISCINA
0881,4.01.02.02.0016,40102020016,MATERIAIS DE ESCRITÓRIO
1532,4.02.03.06.0120,40203060120,REFORMA DO MURO DA ÁREA DE LAZER
1532,4.02.03.06.0122,40203060122,REPAROS NOS MUROS DA AREA COMUM
0749,4.01.01.01.0005,40101010005,FGTS REF. EMPREGADOS
0749,4.02.03.07.0002,40203070002,ENCARGOS SOBRE FOLHA DE 13º SALÁRIOS
0749,4.02.03.09.0002,40203090002,ENCARGOS SOBRE FOLHA DE 13º SALÁRIOS
0749,4.01.01.01.0006,40101010006,VERBAS RESCISÓRIAS CONTRATO DE TRABALHO
0749,4.02.03.09.0007,40203090007,RESCISÃO DE CONTRATO DE TRABALHO
0749,4.02.03.07.0005,40203070005,RESCISÃO DE CONTRATO DE TRABALHO
0749,4.01.01.01.0031,40101010031,REPASSE DE EMPRESTIMO CONSIGNADO DE EMPREGADOS (DESCONTADO DO SALÁRIO)
0749,4.01.01.01.0008,40101010008,MULTA FGTS RESCISÃO
0749,4.02.03.07.0010,40203070010,MULTA FGTS REF. RESCISÃO DE CONTRATO DE TRABALHO
0749,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
1833,4.01.02.02.0078,40102020078,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
1833,4.01.02.02.0057,40102020057,MANUTENÇÃO DO PORTÃO SOCIAL
2102,4.02.03.06.0077,40203060077,PINTURA DAS GRADES DA ÁREA COMUM
1514,4.02.03.01.0008,40203010008,HIGIENIZAÇÃO DE APARELHOS DE AR-CONDICIONADO
0606,4.01.02.03.0004,40102030004,HONORÁRIOS DE SÍNDICO
0606,4.01.02.02.0082,40102020082,LIMPEZA DO TELHADO
0606,4.01.02.02.0007,40102020007,MANUTENÇÃO JARDIM
1362,4.01.02.02.0101,40102020101,MANUTENÇÃO NO SISTEMA DE AQUECIMENTO DA PISCINA
1698,4.02.01.02.0044,40201020044,AQUISIÇÃO DE CADEIRA PARA PORTARIA
1788,4.01.02.02.0035,40102020035,MATERIAIS PARA MANUTENÇÃO DO JARDIM
3062,4.02.03.01.0067,40203010067,AQUISIÇÃO DE TOALHAS PARA O SALÃO DE FESTAS
3396,4.01.02.02.0007,40102020007,MANUTENÇÃO JARDIM
1213,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
1519,4.01.02.02.0046,40102020046,MATERIAIS ALIMENTÍCIOS PARA EMPREGADOS
1519,4.02.01.02.0017,40201020017,LEMBRANÇA DE NATAL PARA COLABORADORES
1080,4.01.02.03.0006,40102030006,HONORÁRIOS DE VICE-SÍNDICO(A)
1445,4.01.02.01.0003,40102010003,GÁS
1239,4.01.02.02.0001,40102020001,MANUTENÇÃO DA MAQUINA APARADORA DE GRAMA
1239,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
1239,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
1239,4.01.02.02.0011,40102020011,MATERIAIS HIDRÁULICOS
1239,4.01.01.01.0021,40101010021,EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL
1239,4.02.03.06.0093,40203060093,AQUISIÇÃO DE LAVADORA DE ALTA PRESSÃO
1239,4.02.01.02.0026,40201020026,AQUISIÇÃO DE FERRAMENTAS DIVERSAS
1239,4.01.02.02.0169,40102020169,REFORMA DA AREA DE LAZER
1492,4.02.03.06.0126,40203060126,MANUTENÇÃO DA BOMBA DE ÁGUA
1492,4.02.03.06.0127,40203060127,MANUTENÇÃO DA BOMBA/BOIA DA CAIXA DE ÁGUA
1375,4.02.03.06.0032,40203060032,OUTRAS DESPESAS DECORRENTES DA PINTURA EXTERNA DOS BLOCOS
1375,4.02.03.10.0013,40203100013,INSTALAÇÃO DO PONTO DE LAVAGEM - OUTROS
1375,4.02.03.06.0075,40203060075,REFORMA DA FACHADA DO CONDOMÍNIO - MATERIAIS
1375,4.02.03.06.0076,40203060076,REFORMA DA FACHADA DO CONDOMÍNIO - OUTROS
1168,4.01.02.01.0001,40102010001,ENERGIA ELÉTRICA
0772,4.01.02.02.0057,40102020057,MANUTENÇÃO DO PORTÃO SOCIAL
0772,4.02.03.01.0008,40203010008,HIGIENIZAÇÃO DE APARELHOS DE AR-CONDICIONADO
0772,4.01.02.02.0084,40102020084,MANUTENÇÃO DA BOIA/BOMBA DA CAIXA DE ÁGUA
0772,4.02.03.01.0046,40203010046,REPAROS EM APARELHO(S) DE AR-CONDICIONADO
0772,4.01.02.02.0008,40102020008,MANUTENÇÃO ELÉTRICA
0772,4.02.03.08.0008,40203080008,REPARO HIDRAULICO EM UNIDADE AUTÔNOMA
0772,4.01.02.02.0009,40102020009,MANUTENÇÃO HIDRÁULICA
0772,4.02.03.01.0017,40203010017,REPARO NOS EQUIPAMENTOS DO SALÃO DE FESTAS/ESPAÇO GOURMET
0772,4.02.03.01.0013,40203010013,MANUTENÇÃO DOS EQUIPAMENTOS DA ACADEMIA
0772,4.01.02.02.0092,40102020092,MANUTENÇÃO DA ILUMINAÇÃO DO CONDOMÍNIO
0772,4.02.03.06.0089,40203060089,MANUTENÇÃO DA ILUMINAÇÃO DO CONDOMÍNIO
0772,4.01.02.02.0028,40102020028,HIGIENIZAÇÃO DE AR CONDICIONADO (S)
1204,4.01.02.02.0141,40102020141,MANUTENÇÃO CASCATA DA PISCINA
1204,4.01.02.02.0092,40102020092,MANUTENÇÃO DA ILUMINAÇÃO DO CONDOMÍNIO
1204,4.02.03.06.0008,40203060008,REFORMA DA AREA DA PISCINA E SALÃO DE FESTAS
2113,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
2113,4.01.02.02.0011,40102020011,MATERIAIS HIDRÁULICOS
2113,4.01.02.02.0035,40102020035,MATERIAIS PARA MANUTENÇÃO DO JARDIM
2113,4.01.02.02.0021,40102020021,SERVIÇOS CHAVEIRO
2113,4.02.03.08.0019,40203080019,VALORES PAGOS A SEREM DEVOLVIDOS
2113,4.02.01.02.0001,40201020001,AQUISIÇÃO DE CADEADO
0833,4.01.01.03.0001,40101030001,SERVIÇO DE LIMPEZA - MENSAL
1790,4.01.02.01.0004,40102010004,TELEFONE E INTERNET
0777,4.01.02.01.0004,40102010004,TELEFONE E INTERNET
1187,4.01.02.01.0004,40102010004,TELEFONE E INTERNET
3457,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
2539,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
2539,4.02.03.07.0001,40203070001,13º SALÁRIOS
2539,4.02.03.07.0003,40203070003,FÉRIAS
2539,4.02.03.08.0019,40203080019,VALORES PAGOS A SEREM DEVOLVIDOS
2926,4.02.03.07.0001,40203070001,13º SALÁRIOS
2926,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
2926,4.02.03.07.0003,40203070003,FÉRIAS
3123,4.02.03.06.0120,40203060120,REFORMA DO MURO DA ÁREA DE LAZER
2250,4.02.01.02.0007,40201020007,AQUISIÇÃO DE PLACAS OU ADESIVOS DE SINALIZAÇÃO/INFORMATIVAS
2130,4.01.01.01.0013,40101010013,SEGURO DE VIDA REF. EMPREGADOS
0814,4.02.03.06.0133,40203060133,MATERIAIS PARA PINTURA DAS UNIDADES AUTONOMAS
0814,4.02.03.06.0075,40203060075,REFORMA DA FACHADA DO CONDOMÍNIO - MATERIAIS
2026,4.02.03.06.0073,40203060073,PINTURA DO PRÉDIO - MATERIAIS
2026,4.02.03.06.0123,40203060123,PINTURA DO HALL DE ENTRADA - MATERIAIS
2944,4.02.03.13.0002,40203130002,MATERIAIS PARA MANUTENÇÃO DO JARDIM
2944,4.01.02.02.0035,40102020035,MATERIAIS PARA MANUTENÇÃO DO JARDIM
2944,4.01.02.02.0169,40102020169,REFORMA DA AREA DE LAZER
2383,4.02.03.06.0076,40203060076,REFORMA DA FACHADA DO CONDOMÍNIO - OUTROS
2383,4.02.03.06.0075,40203060075,REFORMA DA FACHADA DO CONDOMÍNIO - MATERIAIS
2383,4.02.03.06.0008,40203060008,REFORMA DA AREA DA PISCINA E SALÃO DE FESTAS
0876,4.02.01.02.0047,40201020047,SUBSTITUIÇÃO DO TROCADOR DE CALOR DA PISCINA
0876,4.01.02.02.0039,40102020039,MATERIAIS PARA MANUTENÇÃO DA PISCINA
0876,4.01.02.02.0127,40102020127,MANUTENÇÃO DA SAUNA
1547,4.02.03.06.0080,40203060080,REFORMA DO TELHADO DO CONDOMÍNIO - OUTROS
1547,4.02.03.06.0085,40203060085,REFORMA DO JARDIM
0771,4.01.02.01.0013,40102010013,GÁS DOS ESPAÇOS
0771,4.01.02.01.0003,40102010003,GÁS
0771,4.02.03.01.0007,40203010007,GÁS DOS ESPAÇOS
0771,4.02.03.08.0019,40203080019,VALORES PAGOS A SEREM DEVOLVIDOS
2045,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
2045,4.02.03.06.0075,40203060075,REFORMA DA FACHADA DO CONDOMÍNIO - MATERIAIS
2045,4.02.03.06.0120,40203060120,REFORMA DO MURO DA ÁREA DE LAZER
2031,4.02.03.01.0054,40203010054,AQUISIÇÃO DE COMPUTADOR PARA GUARITA
2511,4.01.01.03.0005,40101030005,SERVIÇO DE PORTARIA/LIMPEZA/ZELADORIA - MENSAL
1536,4.01.04.01.0015,40104010015,DESPESAS COM A GARAGEM DA SUPERQUADRA
0813,4.02.01.02.0002,40201020002,TAXA CREA DOS ELEVADORES
0813,4.01.04.01.0015,40104010015,DESPESAS COM A GARAGEM DA SUPERQUADRA
1102,4.01.04.01.0011,40104010011,UM TERÇO DAS DESPESAS DA ÁREA COMUM
1102,4.02.03.08.0019,40203080019,VALORES PAGOS A SEREM DEVOLVIDOS
0886,4.01.02.02.0046,40102020046,MATERIAIS ALIMENTÍCIOS PARA EMPREGADOS
0886,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
3398,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
2179,4.01.02.02.0031,40102020031,MANUTENÇÃO/RECARGA DOS EXTINTORES DE INCÊNDIO
2179,4.02.03.11.0022,40203110022,MANUTENÇÃO DOS EXTINTORES DE INCÊNDIO
1430,4.02.03.01.0038,40203010038,MANUTENÇÃO DO REFRIGERADOR/GELADEIRA DOS ESPAÇOS
1800,4.02.03.06.0062,40203060062,REFORMA DA CALÇADA - OUTROS
1800,4.02.03.06.0135,40203060135,LAUDO TÉCNICO VISTORIA FACHADA
1216,4.01.02.01.0001,40102010001,ENERGIA ELÉTRICA
3011,4.02.03.06.0116,40203060116,REFORMA DA QUADRA DE ESPORTES - OUTROS
3455,4.01.01.01.0017,40101010017,AUXILIO COMBUSTÍVEL REF. EMPREGADOS
0770,4.01.02.01.0001,40102010001,ENERGIA ELÉTRICA
1418,4.01.02.01.0001,40102010001,ENERGIA ELÉTRICA
3151,4.01.02.01.0003,40102010003,GÁS
2971,4.01.02.01.0003,40102010003,GÁS
0659,4.01.02.01.0001,40102010001,ENERGIA ELÉTRICA
0659,4.02.02.03.0002,40202030002,ENERGIA ELÉTRICA - ÁREA DE LAZER
0659,4.02.03.01.0026,40203010026,ENERGIA ELÉTRICA
0659,4.02.03.10.0009,40203100009,ENERGIA ELÉTRICA DA ÁREA COMUM
0659,4.02.03.01.0053,40203010053,ENERGIA ELÉTRICA DO SALÃO DE FESTAS
1699,4.02.01.02.0007,40201020007,AQUISIÇÃO DE PLACAS OU ADESIVOS DE SINALIZAÇÃO/INFORMATIVAS
2252,4.01.02.02.0035,40102020035,MATERIAIS PARA MANUTENÇÃO DO JARDIM
0198,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
0198,4.01.01.01.0002,40101010002,FÉRIAS
0198,4.02.03.09.0001,40203090001,13º SALÁRIOS
0198,4.02.03.07.0001,40203070001,13º SALÁRIOS
0198,4.01.01.01.0016,40101010016,AUXILIO TRANSPORTE REF. EMPREGADOS
0198,4.02.03.07.0003,40203070003,FÉRIAS
2883,4.01.02.02.0159,40102020159,LIMPEZA DAS CAIXAS DE GORDURA
2883,4.01.02.02.0124,40102020124,DESENTUPIMENTO DA PRUMADA HIDRAULICA/REDE ESGOTO
2883,4.02.03.08.0019,40203080019,VALORES PAGOS A SEREM DEVOLVIDOS
2126,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
2109,4.02.03.01.0004,40203010004,LIMPEZA DO SALÃO DE FESTAS
1624,4.01.02.02.0019,40102020019,SERVIÇOS DE PINTURA
1624,4.02.03.06.0008,40203060008,REFORMA DA AREA DA PISCINA E SALÃO DE FESTAS
0673,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
0673,4.02.03.09.0005,40203090005,SUBSTITUIÇÕES DE EMPREGADOS EM FÉRIAS
0673,4.02.03.09.0001,40203090001,13º SALÁRIOS
0673,4.02.03.09.0003,40203090003,FÉRIAS
2906,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
2906,4.02.03.07.0001,40203070001,13º SALÁRIOS
2906,4.01.01.01.0027,40101010027,CESTA DE NATAL PARA EMPREGADO(S)
2906,4.02.03.09.0001,40203090001,13º SALÁRIOS
2906,4.02.03.09.0003,40203090003,FÉRIAS
2927,4.02.03.07.0001,40203070001,13º SALÁRIOS
2927,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
1100,4.01.02.02.0014,40102020014,DEDETIZAÇÃO E DESRATIZAÇÃO DA ÁREA COMUM
1100,4.02.03.06.0017,40203060017,DEDETIZAÇÃO NO TETO DA GARAGEM E AREAS COMUNS
1100,4.01.04.01.0021,40104010021,RETIRADA DO LIXO RECICLÁVEL
1219,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
1814,4.01.02.02.0025,40102020025,REPARO NA PRUMADA HIDRAULICA
1814,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
1263,4.02.03.06.0023,40203060023,MATERIAIS PARA PINTURA EXTERNA DOS BLOCOS
1263,4.02.03.01.0035,40203010035,MATERIAIS HIDRAULICOS
1263,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
1263,4.02.03.11.0005,40203110005,MATERIAIS PARA MANUTENÇÕES DIVERSAS
1263,4.02.01.02.0026,40201020026,AQUISIÇÃO DE FERRAMENTAS DIVERSAS
1263,4.02.03.06.0118,40203060118,OBRA NA GARAGEM DO BLOCO 10
1263,4.02.03.12.0010,40203120010,REFORMA DA AREA DE LAZER
1263,4.01.02.02.0169,40102020169,REFORMA DA AREA DE LAZER
1263,4.01.02.02.0025,40102020025,REPARO NA PRUMADA HIDRAULICA
1443,4.02.03.06.0054,40203060054,REFORMA DA FIAÇÃO ELÉTRICA DOS PORTÕES DE VEÍCULOS
1443,4.02.03.06.0019,40203060019,REFORMA DA GARAGEM - MATERIAIS
1443,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
1443,4.02.03.11.0005,40203110005,MATERIAIS PARA MANUTENÇÕES DIVERSAS
1443,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
1443,4.02.03.06.0094,40203060094,REPAROS NA CAIXA DE ESGOTO
1443,4.02.03.06.0125,40203060125,REFORMA DO BANHEIRO E SALA DA ADMINISTRAÇÃO
1443,4.02.03.06.0083,40203060083,REPARO DO TELHADO DA AREA COMUM
1482,4.02.01.02.0020,40201020020,AQUISIÇÃO DE PURIFICADOR DE ÁGUA
3505,4.01.02.02.0014,40102020014,DEDETIZAÇÃO E DESRATIZAÇÃO DA ÁREA COMUM
1668,4.02.03.06.0051,40203060051,HONORÁRIO ENGENHARIA
1668,4.02.03.06.0068,40203060068,PROJETO ARQUITETONICO PARA REFORMA DA FACHADA
1485,4.02.03.06.0042,40203060042,INSTALAÇÃO DE PLACAS DE ENERGIA FOTOVOLTAICA - MATERIAIS
0680,4.02.03.07.0003,40203070003,FÉRIAS
0680,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
0680,4.02.03.07.0001,40203070001,13º SALÁRIOS
0680,4.01.01.01.0027,40101010027,CESTA DE NATAL PARA EMPREGADO(S)
0680,4.01.01.01.0016,40101010016,AUXILIO TRANSPORTE REF. EMPREGADOS
1257,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
0884,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
1854,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
1854,4.02.03.06.0075,40203060075,REFORMA DA FACHADA DO CONDOMÍNIO - MATERIAIS
1854,4.02.03.06.0076,40203060076,REFORMA DA FACHADA DO CONDOMÍNIO - OUTROS
0877,4.01.02.02.0106,40102020106,MANUTENÇÃO DE CALHAS E RUFOS
0877,4.02.03.01.0001,40203010001,AQUISIÇÃO DE UTENSILIOS PARA O SALÃO DE FESTAS
0877,4.02.03.01.0068,40203010068,MANUTENÇÕES DIVERSAS NO SALÃO DE FESTAS
0877,4.01.02.02.0026,40102020026,MANUTENÇÃO DA PISCINA
0877,4.01.02.02.0007,40102020007,MANUTENÇÃO JARDIM
0877,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
1373,4.01.02.02.0115,40102020115,MATERIAIS PARA MANUTENÇÃO DA PINTURA DA AREA COMUM
1373,4.01.02.02.0149,40102020149,MATERIAIS PARA PINTURAS DIVERSAS NA AREA COMUM
1884,4.02.03.01.0051,40203010051,AQUISIÇÃO DE BANCO PARA SALÃO DE FESTAS
2085,4.02.01.02.0033,40201020033,AQUISIÇÃO DE MICRO-ONDAS PARA COZINHA GUARITA
2085,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
1311,4.01.02.02.0130,40102020130,MANUTENÇÃO DA BOMBA DO POÇO ARTESIANO
1311,4.01.02.02.0011,40102020011,MATERIAIS HIDRÁULICOS
1311,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
1311,4.02.03.06.0019,40203060019,REFORMA DA GARAGEM - MATERIAIS
1311,4.02.03.06.0075,40203060075,REFORMA DA FACHADA DO CONDOMÍNIO - MATERIAIS
0783,4.01.01.01.0021,40101010021,EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL
0783,4.02.03.01.0032,40203010032,MATERIAIS PARA MANUTENÇÕES DIVERSAS
0783,4.01.02.02.0011,40102020011,MATERIAIS HIDRÁULICOS
0783,4.02.03.06.0007,40203060007,REPARO DA PRUMADA HIDRÁULICA
0783,4.01.02.02.0170,40102020170,REPAROS EM MUROS DA AREA COMUM
0783,4.02.03.06.0122,40203060122,REPAROS NOS MUROS DA AREA COMUM
0783,4.02.03.06.0008,40203060008,REFORMA DA AREA DA PISCINA E SALÃO DE FESTAS
2423,4.02.03.07.0001,40203070001,13º SALÁRIOS
2423,4.01.01.01.0027,40101010027,CESTA DE NATAL PARA EMPREGADO(S)
2423,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
2097,4.02.03.06.0075,40203060075,REFORMA DA FACHADA DO CONDOMÍNIO - MATERIAIS
3012,4.01.02.02.0164,40102020164,MANUTENÇÃO DO SISTEMA DE PONTO ELETRÔNICO DA GUARITA
0865,4.01.02.02.0051,40102020051,SUBSTITUIÇÃO DA TAMPA CAIXA PASSAGEM FIAÇÃO TELEFONE
0865,4.02.03.06.0008,40203060008,REFORMA DA AREA DA PISCINA E SALÃO DE FESTAS
0865,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
0838,4.02.03.05.0004,40203050004,REPAROS NA BOMBA DA CAIXA DÁGUA
0838,4.02.03.05.0003,40203050003,REPAROS DA CENTRAL DE INTERFONES
0838,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
0838,4.02.03.06.0075,40203060075,REFORMA DA FACHADA DO CONDOMÍNIO - MATERIAIS
1454,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
1454,4.02.03.06.0020,40203060020,REFORMA DA CALÇADA - MATERIAIS
2136,4.02.03.06.0075,40203060075,REFORMA DA FACHADA DO CONDOMÍNIO - MATERIAIS
0040,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
0040,4.01.02.02.0084,40102020084,MANUTENÇÃO DA BOIA/BOMBA DA CAIXA DE ÁGUA
0040,4.02.03.06.0045,40203060045,REPAROS/REFORMA DO PORTÃO DE VEÍCULOS
1980,4.02.01.02.0039,40201020039,AQUISIÇÃO DE ESCADA
1980,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
1980,4.02.03.01.0062,40203010062,AQUISIÇÃO DE ESCADA
1980,4.02.03.01.0032,40203010032,MATERIAIS PARA MANUTENÇÕES DIVERSAS
1980,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
0841,4.01.04.01.0001,40104010001,VISTORIA E MANUTENÇÃO DOS ELEVADORES
0841,4.01.02.02.0002,40102020002,SUBSTITUIÇÃO DE PEÇAS DO(S) ELEVADOR(S)
1185,4.01.04.01.0001,40104010001,VISTORIA E MANUTENÇÃO DOS ELEVADORES
0817,4.01.04.01.0001,40104010001,VISTORIA E MANUTENÇÃO DOS ELEVADORES
0817,4.01.02.02.0002,40102020002,SUBSTITUIÇÃO DE PEÇAS DO(S) ELEVADOR(S)
1374,4.02.03.01.0035,40203010035,MATERIAIS HIDRAULICOS
2905,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
2905,4.02.03.07.0003,40203070003,FÉRIAS
2905,4.02.03.07.0001,40203070001,13º SALÁRIOS
2905,4.01.01.01.0027,40101010027,CESTA DE NATAL PARA EMPREGADO(S)
2905,4.02.03.09.0003,40203090003,FÉRIAS
2905,4.02.03.09.0001,40203090001,13º SALÁRIOS
1807,4.02.03.06.0063,40203060063,CORREÇÃO DE INFILTRAÇÃO NAS PAREDES EXTERNAS
1807,4.01.02.02.0008,40102020008,MANUTENÇÃO ELÉTRICA
1807,4.02.03.08.0019,40203080019,VALORES PAGOS A SEREM DEVOLVIDOS
1420,4.02.03.06.0037,40203060037,REFORMA DA SAUNA - MÃO DE OBRA
1153,4.01.02.01.0008,40102010008,CORREIOS E MALOTES
1153,4.02.03.08.0003,40203080003,DESPESAS COM ENVIO DE BOLETOS
1153,4.02.03.01.0042,40203010042,NOTIFICAÇÃO EXTRAJUDICIAL
1117,4.01.02.01.0008,40102010008,CORREIOS E MALOTES
1115,4.01.04.01.0016,40104010016,TESTE DE ESTANQUEIDADE ANUAL NA PRUMADA DO GÁS E VISTORIA ANUAL DO PARA-RAIOS
1115,4.01.01.02.0008,40101020008,LAUDOS REFERENTES VISTORIA CORPO DE BOMBEIROS
1115,4.02.03.10.0011,40203100011,LAUDOS TECNICOS
1115,4.02.03.06.0111,40203060111,LAUDO PERICIAL PÓS ENTREGA DE EMPREENDIMENTO
1798,4.01.02.02.0138,40102020138,REPAROS E MELHORIAS DO BICICLETÁRIO
2129,4.01.02.02.0025,40102020025,REPARO NA PRUMADA HIDRAULICA
1508,4.01.02.02.0122,40102020122,LIMPEZA ANUAL DA FOSSA
3466,4.02.03.06.0132,40203060132,REFORMA DA CAIXA DE AGUA E IMPERMEABILIZAÇÕES DA CASA DE MÁQUINAS E CAIXA DE GÁS
0824,4.01.04.01.0004,40104010004,TRATAMENTO E LIMPEZA DA PISCINA
0824,4.01.02.02.0039,40102020039,MATERIAIS PARA MANUTENÇÃO DA PISCINA
0824,4.01.02.02.0026,40102020026,MANUTENÇÃO DA PISCINA
2440,4.02.03.06.0074,40203060074,REFORMA DA FACHADA DO CONDOMÍNIO - MÃO DE OBRA
1256,4.02.03.06.0013,40203060013,MANUTENÇÃO DAS PORTAS E JANELAS DO SALÃO DE FESTAS E BRINQUEDOTECA
1256,4.01.02.02.0005,40102020005,MANUTENÇÃO EM PORTAS
1315,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
1315,4.02.03.09.0011,40203090011,GRATIFICAÇÃO DE FIM DE ANO PARA EMPREGADOS
1315,4.02.03.09.0001,40203090001,13º SALÁRIOS
1315,4.02.03.09.0003,40203090003,FÉRIAS
1315,4.02.01.02.0018,40201020018,GRATIFICAÇÃO DE FIM DE ANO PARA COLABORADORES/LIXEIROS
2406,4.02.01.02.0043,40201020043,AQUISIÇÃO DE ITENS DE SEGURANÇA PARA PONTO DE LAVAGEM
1186,4.02.01.02.0007,40201020007,AQUISIÇÃO DE PLACAS OU ADESIVOS DE SINALIZAÇÃO/INFORMATIVAS
1186,4.02.01.02.0045,40201020045,AQUISIÇÃO DE EXTINTOR(ES) DE INCÊNDIO
0779,4.01.02.02.0018,40102020018,MANUTENÇÃO EXTINTORES E MANGUEIRAS DE INCÊNDIO
0779,4.01.02.02.0032,40102020032,MANUTENÇÃO DAS MANGUEIRAS DE INCÊNDIO
